Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
3,,Mon Sep 07 10:50:56 EDT 2020,AbstractThreeParameterSafetyTest.java,1599490256971,533241,0,(I)12,1.0,0.0,0.0,0.0,0.0,0.0,0.0225140712945591,0.0,0.0,0.0,0.0,0.0,0.0225140712945591,0.0,[]
4,,Mon Sep 07 10:59:50 EDT 2020,GivenSafetyTest.java,1599490790322,47653,0,(I)12(R)2(I)4,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.3829787234042553,0.0,0.0,0.0,0.0,0.0425531914893617,0.3404255319148936,0.0,[]
5,,Mon Sep 07 11:00:39 EDT 2020,GivenSafetyTest.java,1599490839155,7677,7677,(I)7(R)8(I)6,0.6190476190476191,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.1428571428571428,1.8571428571428572,0.0,[]
6,,Mon Sep 07 11:00:46 EDT 2020,InterpolatedSafetyTest.java,1599490846969,236,236,(I)3(R)2(I)5(R)1(I)7,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
7,,Mon Sep 07 11:00:47 EDT 2020,InterpolatedSafetyTest.java,1599490847670,24396,0,(R)2(I)5(R)1(I)14,0.8636363636363636,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.125,0.7916666666666666,0.0,[]
8,,Mon Sep 07 11:01:12 EDT 2020,AbstractThreeParameterSafetyTest.java,1599490872212,78809,0,(I)10,1.0,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,0.0,[]
9,,Mon Sep 07 11:02:31 EDT 2020,AbstractThreeParameterSafetyTest.java,1599490951021,114093,0,(I)4(F)2(I)12,0.8888888888888888,0.0,0.0,11.11111111111111,0.0,0.0,0.15789473684210525,0.0,0.0,0.017543859649122806,0.0,0.0,0.14035087719298245,0.0,[]
10,,Mon Sep 07 11:04:25 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491065123,19933,0,(I)24,1.0,0.0,0.0,0.0,0.0,0.0,1.263157894736842,0.0,0.0,0.0,0.0,0.0,1.263157894736842,0.0,[]
11,,Mon Sep 07 11:04:45 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491085283,28389,0,(I)19,1.0,0.0,0.0,0.0,0.0,0.0,0.6785714285714286,0.0,0.0,0.0,0.0,0.0,0.6785714285714286,0.0,[]
12,,Mon Sep 07 11:05:13 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491113916,2053,2053,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,[]
13,,Mon Sep 07 11:05:15 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491115983,2474,2474,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,[]
14,,Mon Sep 07 11:05:18 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491118522,5442,5442,(I)6(R)19,0.24,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.8,1.2,0.0,[]
15,,Mon Sep 07 11:05:23 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491123974,351,351,(R)25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
16,,Mon Sep 07 11:05:24 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491124353,19299,0,(R)21(I)1(R)1(I)2,0.12,0.0,0.0,0.0,0.0,0.0,1.3157894736842106,0.0,0.0,0.0,0.0,1.1578947368421053,0.15789473684210525,0.0,[]
17,,Mon Sep 07 11:05:43 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491143813,9707,9707,(I)19,1.0,0.0,0.0,0.0,0.0,0.0,2.111111111111111,0.0,0.0,0.0,0.0,0.0,2.111111111111111,0.0,[]
18,,Mon Sep 07 11:05:51 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491151580,1960,1960,(I)17(R)2(I)6,0.92,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,2.0,23.0,0.0,[]
19,,Mon Sep 07 11:05:53 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491153582,3759,3759,(I)1(R)2(I)22,0.92,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.6666666666666666,7.666666666666667,0.0,[]
20,,Mon Sep 07 11:05:57 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491157443,11108,0,(I)14(R)6(I)5,0.76,0.0,0.0,0.0,0.0,0.0,2.272727272727273,0.0,0.0,0.0,0.0,0.5454545454545454,1.7272727272727273,0.0,[]
21,,Mon Sep 07 11:06:08 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491168567,6268,6268,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,[]
22,,Mon Sep 07 11:06:14 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491174910,6616,6616,(I)18(R)2(I)5,0.92,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,3.8333333333333335,0.0,[]
23,,Mon Sep 07 11:06:21 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491181544,4997,4997,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,6.25,0.0,[]
24,,Mon Sep 07 11:06:26 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491186680,2082,2082,(I)8(R)2(I)15,0.92,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,1.0,11.5,0.0,[]
25,,Mon Sep 07 11:06:28 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491188778,7094,7094,(I)23(R)2,0.92,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.0,0.0,0.0,0.2857142857142857,3.2857142857142856,0.0,[]
26,,Mon Sep 07 11:06:36 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491196024,2107,2107,(R)8(I)17,0.68,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,4.0,8.5,0.0,[]
27,,Mon Sep 07 11:06:38 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491198146,1407,1407,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,[]
28,,Mon Sep 07 11:06:39 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491199672,5828,5828,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,[]
29,,Mon Sep 07 11:06:45 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491205521,2963,2963,(I)1(R)6(I)10(R)2(I)6,0.68,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,4.0,8.5,0.0,[]
30,,Mon Sep 07 11:06:48 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491208617,6120,6120,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,[]
31,,Mon Sep 07 11:06:54 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491214744,5313,5313,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,[]
32,,Mon Sep 07 11:07:00 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491220097,2643,2643,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,[]
33,,Mon Sep 07 11:07:02 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491222757,6852,6852,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,[]
34,,Mon Sep 07 11:07:09 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491229738,2061,2061,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,[]
35,,Mon Sep 07 11:07:11 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491231813,4822,4822,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,6.25,0.0,[]
36,,Mon Sep 07 11:07:18 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491238196,3687,3687,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,[]
37,,Mon Sep 07 11:07:21 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491241897,4073,4073,(I)17(R)2(I)6,0.92,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.5,5.75,0.0,[]
38,,Mon Sep 07 11:07:26 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491246791,2326,2326,(I)8(R)6(I)11,0.76,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,3.0,9.5,0.0,[]
39,,Mon Sep 07 11:07:29 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491249133,9655,9655,(I)11(R)1(I)2(R)1(I)8,0.9130434782608695,0.0,0.0,0.0,0.0,0.0,2.5555555555555554,0.0,0.0,0.0,0.0,0.2222222222222222,2.3333333333333335,0.0,[]
40,,Mon Sep 07 11:07:38 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491258927,3358,3358,(I)16(R)2(I)7,0.92,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.6666666666666666,7.666666666666667,0.0,[]
41,,Mon Sep 07 11:07:42 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491262302,8410,8410,(I)14(R)3(I)5(R)3,0.76,0.0,0.0,0.0,0.0,0.0,3.125,0.0,0.0,0.0,0.0,0.75,2.375,0.0,[]
42,,Mon Sep 07 11:07:51 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491271706,20013,0,(I)4(R)3(I)18,0.88,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.15,1.1,0.0,[]
43,,Mon Sep 07 11:08:14 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491294150,10588,0,(I)5(R)3(I)17,0.88,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.3,2.2,0.0,[]
44,,Mon Sep 07 11:08:25 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491305106,9475,9475,(I)23,1.0,0.0,0.0,0.0,0.0,0.0,2.5555555555555554,0.0,0.0,0.0,0.0,0.0,2.5555555555555554,0.0,[]
45,,Mon Sep 07 11:08:34 EDT 2020,AbstractThreeParameterSafetyTest.java,1599491314787,7031,7031,(R)6(I)5(R)6(I)2,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,2.7142857142857144,0.0,0.0,0.0,0.0,1.7142857142857142,1.0,0.0,[]
